,Anteil,Unnamed: 1,Company,BO,DS,Country
0,6.8075%,0.0,dormakaba Holding AG,Christine Mankel,, Deutschland
1,6.8075%,1.0,dormakaba Holding AG,Stephanie Brecht-Bergen,Familie Mankel Industriebeteiligungs GmbH+Co. KGaA (FM KGaA), Deutschland
2,6.8075%,2.0,dormakaba Holding AG,Karl-Rudolf Mankel,, Deutschland
3,6.8075%,3.0,dormakaba Holding AG,Martina Bössow-Kuenzle,, Arabische Emirate
4,3.23%,0.0,dormakaba Holding AG,"T. Rowe Price Associates, Inc.",,
5,,,,T. Rowe Price Associates,, USA
6,,,,Ulrich Bremi,, Schweiz
7,,,,Anja Erben von Bremi-Forrer,, Schweiz
8,,,,Balz Caspar Dubs,, Schweiz
9,,,,Kevin Benjamin Dubs,, Schweiz
10,,,,Linus Benedict Dubs,, Schweiz
11,,,,Karina Dubs-Kuenzle,, Schweiz
12,,,,Anja Flückiger-Kuenzle,, Schweiz
13,,,,Christian Forrer,, Schweiz
14,,,,Karin Forrer,, Schweiz
15,,,,Anna Katharina Kuenzle,, Schweiz
16,,,,Clive C. Kuenzle,, Schweiz
17,,,,Michael Kuenzle,, Schweiz
18,,,,Christoph Sallai,, Schweiz
19,,,,Alexandra Sallai-Forrer,, Schweiz
20,,,,Sascha Ullmann,, Schweiz
21,,,,Andrea Ullmann-Bremi,, Schweiz
22,,,,Adrian Weibel,, Schweiz
23,,,,Tonia Weibel,, Schweiz
